ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;IT1092;105;VALPOLICELLA CLASSICO RIPASSO DOC MAGRINELLI;7,5;12,5;VALPOLICELLA CLASSICO RIPASSO DOC MAGRINELLI;;2007;Italien;Venetien;Corvina;Rotwein;;Braten, Grillfleisch, Pasta, Steak;14%;;0.75 cl;
;IT1093;105;VALPOLICELLA CLASSICO SUPERIORE RIPASSO DOC TERRE DEL MORO;8,5;10,5;VALPOLICELLA CLASSICO SUPERIORE RIPASSO DOC TERRE DEL MORO;;2008;Italien;Venetien;Corvina, Valpolicella;Rotwein;;Braten, Kalbfleisch, Lammfleisch, Rindfleisch, Wildfleisch;14,5%;ja;0.75 cl;
;IT1094;105;VALPOLICELLA CLASSICO SUPERIORE RIPASSO DOC TERRE DEL MORO;8,5;10,5;VALPOLICELLA CLASSICO SUPERIORE RIPASSO DOC TERRE DEL MORO;;2008;Italien;Venetien;Corvina, Valpolicella;Rotwein;;Braten, Kalbfleisch, Lammfleisch, Rindfleisch, Wildfleisch;14,5%;ja;0.75 cl;
;IT1095;105;VALPOLICELLA CLASSICO RISPASSO DOC MAGRINELLI;7,5;12,5;VALPOLICELLA CLASSICO RISPASSO DOC MAGRINELLI;;2007;Italien;Venetien;Corvina;Rotwein;;Braten, Grillfleisch, Pasta, Steak;14%;;0.75 cl;
;IT1096;105;VALPOLICELLA CLASSICO SUPERIORE RIPASSO DOC CA' DEL FONGO;12,5;;VALPOLICELLA CLASSICO SUPERIORE RIPASSO DOC CA' DEL FONGO;;2009;Italien;Venetien;Corvina, Molinara, Rondinella;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Steak, Wildfleisch;14,5%;ja;0.75 cl;
;IT1097;105;AMARONE DELLA VALPOLICELLA CLASSICO DOC MONTE BALDON;23,5;;AMARONE DELLA VALPOLICELLA CLASSICO DOC MONTE BALDON;;2008;Italien;Venetien;Amarone, Corvina, Molinara, Rondinella;Rotwein;;Barbeque, Braten, Grillfleisch, Rindfleisch, Steak, Wildfleisch;16%;ja;0.75 cl;
;IT1098;105;MERLOT DEL VENETO IGT SAMANTA SEMISECO;5,5;;MERLOT DEL VENETO IGT SAMANTA SEMISECO;;2008;Italien;;Merlot;Rotwein;;Braten, Geflügel, Grillfleisch;11,3%;;0.75 cl;
;IT1099;105;PRIMITIVO SALENTO IGT ADAGE;5,5;;PRIMITIVO SALENTO IGT ADAGE;;2008;Italien;Apulien;Primitivo;Rotwein;;Antipasti, Geflügel, Grillfleisch;13%;;0.75 cl;
;IT1100;105;PRIMITIVO DI MADURIA DOC PRINCIPE DI FEDERICO;10,5;;PRIMITIVO DI MADURIA DOC PRINCIPE DI FEDERICO;;2010;Italien;Apulien;Primitivo di Manduria;Rotwein;;Grillfleisch, kräftigem Käse, Wildfleisch;14%;ja;0.75 cl;
;IT1101;105;ROSSE DEI PRINCIPE VDT VILLA MARIN;5,5;7,5;ROSSE DEI PRINCIPE VDT VILLA MARIN;;2009;Italien;Venetien;Roussanne;Rotwein;;Rotes Fleisch, Vorspeise & Salat;13%;;0.75 cl;
